"문제번호","과목코드","과목명","대단원번호","대단원명","중단원번호","중단원명","섹션번호","섹션명","키워드","유형","난이도","배점","문제내용","보기1","보기2","보기3","보기4","정답","해설"
"11","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","음(-)전하 주위의 전기장 방향에 대한 설명으로 옳은 것은?","음전하에서 바깥으로 뻗어 나간다.","전기장이 형성되지 않는다.","방향이 정해지지 않는다.","음전하 쪽으로 향한다(안으로 들어간다).","4","음(-)전하 주위의 전기장은 음전하 쪽으로 향하는 방향입니다. 단위 양전하를 갖다 두면 인력에 의해 음전하 쪽으로 끌리기 때문입니다."
"12","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","양(+)전하 Q 주위에 양(+)전하 q를 놓을 때, q가 받는 전기력의 방향과 그 위치에서의 전기장 방향의 관계는?","서로 같은 방향이다.","서로 반대 방향이다.","서로 수직이다.","관계가 없다.","1","양전하가 받는 전기력의 방향은 그 위치에서의 전기장 방향과 같습니다. (F = qE, q > 0)"
"13","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","양(+)전하 Q 주위에 음(-)전하 q를 놓을 때, q가 받는 전기력의 방향과 그 위치에서의 전기장 방향의 관계는?","서로 같은 방향이다.","서로 반대 방향이다.","서로 수직이다.","관계가 없다.","2","음전하가 받는 전기력은 전기장과 반대 방향입니다. (F = qE에서 q < 0이므로 부호가 뒤집힘)"
"14","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전자(음전하)가 어떤 전기장 속에서 받는 전기력의 방향과 그 위치에서의 전기장의 방향의 관계는?","반대 방향","같은 방향","수직","무관","1","전자는 음전하이므로 전기력의 방향이 전기장의 방향과 반대입니다."
"15","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","중력장과 전기장을 비교한 설명으로 옳지 않은 것은?","중력장에서 물체를 중력 반대 방향으로 들어올리면 중력에 의한 위치 에너지가 증가한다.","전기장에서 양(+)전하를 전기력 반대 방향으로 움직이면 전기적 위치 에너지가 증가한다.","기준점을 어디로 잡든 위치 에너지의 절대값은 항상 같다.","전기적 위치 에너지는 일을 통해 증가하거나 감소한다.","3","위치 에너지(중력적이든 전기적이든)는 기준점을 어디로 잡느냐에 따라 값이 달라집니다. 기준점에 의존하지 않는 것은 두 점 사이의 위치 에너지 '차'입니다."
"16","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전기장 안에서 기준점에 대해 단위 양(+)전하가 가지는 전기적 위치 에너지를 무엇이라고 하는가?","전류","전기장","전위","전기력","3","전기장 안에서 기준점에 대해 단위 양(+)전하가 가지는 전기적 위치 에너지를 전위(V)라고 하며, 단위는 V(볼트) 또는 J/C입니다."
"17","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전위 V의 정의식으로 옳은 것은? (W: 전하 q를 기준점에서 어떤 위치까지 옮기는 데 한 일)","V = W × q","V = W + q","V = q / W","V = W / q","4","전위는 단위 양전하당의 전기적 위치 에너지이므로 V = W / q 입니다. 단위는 V 또는 J/C."
"18","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전위의 단위로 옳지 않은 것은?","V (볼트)","J/C","N/C","1 V = 1 J/C","3","V(볼트) = J/C 가 전위의 단위입니다. N/C는 전기장의 단위입니다."
"19","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","양(+)전하 주위에서 전위가 변하는 양상으로 옳은 것은?","양전하에 가까워질수록 전위가 낮다.","양전하에 가까워질수록 전위가 높다.","양전하 주위 전위는 어디서나 같다.","양전하 주위 전위는 0이다.","2","양(+)전하에 가까울수록 전위가 높고, 음(-)전하에 가까울수록 전위가 낮습니다."
"20","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전위차(또는 전압)의 정의로 옳은 것은?","두 점 사이의 전위의 차이","한 점에서의 전위","단위 양전하가 받는 전기력","전류의 흐르는 양","1","두 지점 사이의 전위의 차이를 전위차 또는 전압이라고 합니다."
"21","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전하량 +2 C의 양전하를 기준점에서 어떤 위치 P까지 옮기는 데 외력이 한 일이 10 J이었다면, 점 P의 전위는?","5 V","2 V","10 V","20 V","1","V = W / q = 10 J / 2 C = 5 V."
"22","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","점 A의 전위가 8 V, 점 B의 전위가 3 V일 때, A와 B 사이의 전위차(A 기준 B의 전압)는?","3 V","5 V","8 V","11 V","2","두 점 사이의 전위차는 두 전위의 차이입니다. V_AB = V_A - V_B = 8 - 3 = 5 V."
"23","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전하 q가 전기장 E를 받을 때 q에 작용하는 전기력의 크기는?","F = q + E","F = E / q","F = q / E","F = qE","4","전기장의 정의에서 단위 양전하가 받는 힘이 E이므로, 전하량 q인 전하가 받는 전기력의 크기는 F = qE 입니다."
"24","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","두 점전하 사이의 거리를 그대로 두고 한쪽 전하만 -3배로 바꿨다(부호도 바뀜). 두 전하 사이에 작용하는 전기력의 크기와 종류 변화는?","크기 1/3배, 종류 그대로","크기 3배, 종류 반대(척↔인)로 바뀜","크기 9배, 종류 그대로","크기 변화 없음","2","F ∝ q₁q₂. 한쪽이 -3배가 되면 곱이 -3배가 되므로 크기는 3배, 부호가 반대이므로 인력↔척력이 뒤바뀝니다."
"25","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ad","","두 점전하 q₁ = +2 μC, q₂ = +3 μC이 거리 r = 0.1 m 떨어져 있을 때, 두 전하 사이에 작용하는 전기력의 크기는? (k ≈ 9 × 10⁹ N·m²/C²)","약 5.4 N","약 0.54 N","약 54 N","약 0.054 N","1","F = k q₁q₂ / r² = 9×10⁹ × (2×10⁻⁶)(3×10⁻⁶) / (0.1)² = 9×10⁹ × 6×10⁻¹² / 0.01 = 54×10⁻³ / 0.01 = 5.4 N."
"26","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ad","","어떤 균일한 전기장 E = 100 N/C 안에 전하량 +0.5 C인 양전하를 놓았다. 이 전하가 받는 전기력의 크기와 방향은?","크기 50 N, 전기장과 같은 방향","크기 50 N, 전기장과 반대 방향","크기 200 N, 전기장과 같은 방향","크기 0.005 N, 전기장과 반대 방향","1","F = qE = 0.5 × 100 = 50 N. 양전하이므로 전기력의 방향은 전기장과 같은 방향입니다."
"27","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전위차가 큰 두 지점 사이에서 양(+)전하가 자유롭게 움직일 수 있다면, 이 전하는 어떤 방향으로 움직이는 경향이 있는가?","전위가 낮은 곳에서 높은 곳으로","전위차와 무관하게 임의로","전위가 같은 곳에서 다른 곳으로","전위가 높은 곳에서 낮은 곳으로","4","양전하는 전기력에 의해 전위가 높은 곳에서 낮은 곳으로 자발적으로 이동하려는 경향이 있습니다. (중력장에서 물체가 높은 곳에서 낮은 곳으로 떨어지는 것과 유사)"
"28","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","같은 거리에서 비교할 때, 전하량이 큰 양(+)전하 주위의 전기장과 전하량이 작은 양(+)전하 주위의 전기장의 차이로 옳은 것은?","전하량이 클수록 같은 거리에서 전기장이 약하다.","전하량이 클수록 같은 거리에서 전기장이 강하다.","전하량과 전기장의 세기는 무관하다.","전기장은 거리에만 의존한다.","2","점전하 Q가 만드는 전기장은 E = kQ/r²이므로, 같은 거리(r)라면 전하량 Q가 클수록 전기장이 강해집니다."
"29","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ad","","양(+)전하 +q를 점 A에서 점 B로 옮기는 데 외력이 한 일이 양수(+)였다면, 두 점의 전위 관계는? (단, 다른 힘은 무시)","V_A > V_B","V_A = V_B","V_A < V_B","전위와 일은 무관하다.","3","V = W/q에서 양전하 q에 양의 일을 했다는 것은 그 전하의 전기적 위치 에너지를 키운 것이므로, B 지점의 전위가 더 높습니다. 즉 V_A < V_B."
"30","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전기장과 전위차에 대한 설명으로 옳지 않은 것은?","전하 주위의 공간에 전기장이 형성된다.","양(+)전하에서 멀어질수록 전위는 낮아진다.","전위차는 두 지점 사이의 전위의 차이이며, '전압'이라고도 한다.","단위 양(+)전하에 작용하는 전기력의 크기는 전위와 같다.","4","단위 양(+)전하에 작용하는 전기력의 크기는 '전기장'(E, 단위 N/C)이지 전위가 아닙니다. 전위(V, 단위 V)는 단위 양전하의 전기적 위치 에너지입니다."
"31","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","옴의 법칙을 옳게 나타낸 식은? (V: 전압, I: 전류, R: 저항)","V = I + R","V = I × R","V = I / R","V = R / I","2","옴의 법칙: 저항값이 일정한 저항의 양단에 걸리는 전압은 그 저항에 흐르는 전류에 비례한다. V = IR (또는 I = V/R)."
"32","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","저항 내부에서 일어나는 현상을 옳게 설명한 것은?","전자가 자유롭게 움직여 열이 발생하지 않는다.","이동하는 전자가 원자와 부딪히며 열이 발생한다.","원자들이 빠르게 이동하면서 전자를 만들어 낸다.","전류가 흐를수록 저항이 작아진다.","2","저항 내부에서 이동하는 전자는 물질 속 원자와 부딪히며 운동에너지를 잃고, 이때 발생한 에너지가 열로 나타납니다."
"33","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","저항에서 시간 t 동안 소모되는 전기 에너지 W의 식으로 옳은 것은? (V: 전압, I: 전류)","W = VI / t","W = VIt","W = V/I × t","W = (V + I)t","2","전기 에너지는 W = VIt 입니다. 단위: J(줄)."
"34","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","저항이 단위 시간당 소모하는 에너지(소비 전력) P의 식으로 옳지 않은 것은?","P = VI","P = I²R","P = V²/R","P = V/R","4","소비 전력은 P = VI = I²R = V²/R 의 세 가지 형태로 쓸 수 있습니다. P = V/R 은 전류의 식(I = V/R)이지 전력 식이 아닙니다. 단위: W(와트)."
"35","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","전력량의 정의로 옳은 것은?","전력 × 전압","전력 × 시간","전압 × 전류","저항 × 시간","2","전력량 = 소비 전력(P) × 시간(t). 단위는 J(줄) 또는 Wh(와트시)를 사용합니다."
"36","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","전기 에너지의 단위로 옳은 것은?","A (암페어)","V (볼트)","Ω (옴)","J (줄)","4","전기 에너지의 단위는 J(줄)이며, 시간 단위를 곱한 Wh(와트시)도 함께 쓰입니다."
"37","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","100 W 전구를 5시간 동안 켜놓았을 때 소모된 전력량은?","20 Wh","100 Wh","500 Wh","5000 Wh","3","전력량 = P × t = 100 W × 5 h = 500 Wh."
"38","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","저항을 직렬연결한 회로에서 각 저항에 흐르는 전류에 대한 설명으로 옳은 것은?","저항값이 큰 쪽에 더 큰 전류가 흐른다.","저항값이 작은 쪽에 더 큰 전류가 흐른다.","모든 지점에서 같다.","저항의 개수에 비례한다.","3","직렬연결에서는 한 줄의 길로 전류가 흐르므로 모든 지점에서 전류의 세기가 같습니다. I = I₁ = I₂."
"39","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","두 저항 R₁, R₂를 직렬연결할 때 합성저항 R_합성 의 식으로 옳은 것은?","R_합성 = R₁ + R₂","1/R_합성 = 1/R₁ + 1/R₂","R_합성 = R₁ × R₂","R_합성 = R₁ - R₂","1","직렬연결의 합성저항은 두 저항의 합과 같습니다. R_합성 = R₁ + R₂."
"40","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","직렬연결 회로에서 전체 전압 V와 각 저항에 걸리는 전압 V₁, V₂의 관계로 옳은 것은?","V = V₁ + V₂","V = V₁ = V₂","V = V₁ × V₂","V = V₁ - V₂","1","직렬연결에서는 전체 전압이 각 저항에 걸리는 전압의 합과 같습니다. V = V₁ + V₂."
"41","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","두 저항을 직렬연결했을 때, 저항값이 큰 쪽에 걸리는 전압에 대한 설명으로 옳은 것은?","저항값과 무관하게 전압은 같다.","저항값이 작은 쪽에 더 큰 전압이 걸린다.","저항값이 큰 쪽에 더 큰 전압이 걸린다.","저항값이 큰 쪽에는 전압이 걸리지 않는다.","3","직렬연결에서는 전류가 일정하므로 V = IR에서 저항값이 큰 쪽에 더 큰 전압이 걸립니다. V₁ : V₂ = R₁ : R₂."
"42","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","직렬연결한 두 저항이 소모하는 소비 전력의 비 P₁ : P₂ 는?","R₁ : R₂","R₂ : R₁","1/R₁ : 1/R₂","R₁² : R₂²","1","직렬연결은 전류가 같으므로 P = I²R 에서 P₁ : P₂ = R₁ : R₂. 즉 저항값이 큰 쪽이 소비 전력도 큽니다."
"43","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","R₁ = 100 Ω, R₂ = 200 Ω 을 직렬로 연결하고 양단에 V = 30 V 를 걸었을 때, 회로에 흐르는 전류는?","0.05 A","0.5 A","0.3 A","0.1 A","4","R_합성 = 100 + 200 = 300 Ω. I = V / R_합성 = 30 / 300 = 0.1 A."
"44","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","전원의 전압이 일정할 때 저항을 직렬로 더 많이 연결할수록 회로 전체 소비 전력은 어떻게 변하는가?","커진다.","0이 된다.","변화 없다.","작아진다.","4","전원 전압 V가 일정할 때 P = V²/R_합성. 직렬로 더 연결할수록 R_합성 이 커지므로 전체 소비 전력은 작아집니다."
"45","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","저항을 병렬연결한 회로에서 각 저항에 걸리는 전압에 대한 설명으로 옳은 것은?","저항값이 큰 쪽에 더 큰 전압이 걸린다.","저항값이 작은 쪽에 더 큰 전압이 걸린다.","모든 저항에 같은 전압이 걸린다.","저항의 개수에 반비례한다.","3","병렬연결에서는 모든 저항이 같은 두 지점 사이에 연결되어 있으므로, 각 저항에 걸리는 전압이 모두 같고 전원의 전압과도 같습니다. V = V₁ = V₂."
"46","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","두 저항 R₁, R₂를 병렬연결할 때 합성저항 R_합성 의 식으로 옳은 것은?","R_합성 = R₁ + R₂","1/R_합성 = 1/R₁ + 1/R₂","R_합성 = R₁ × R₂","R_합성 = (R₁ + R₂)/2","2","병렬연결의 합성저항은 각 저항의 역수의 합의 역수입니다. 1/R_합성 = 1/R₁ + 1/R₂."
"47","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","병렬연결 회로에서 전체 전류 I와 각 저항에 흐르는 전류 I₁, I₂의 관계로 옳은 것은?","I = I₁ + I₂","I = I₁ = I₂","I = I₁ × I₂","I = I₁ - I₂","1","병렬연결에서는 전류가 갈라져 흐르므로 전체 전류는 각 저항에 흐르는 전류의 합과 같습니다. I = I₁ + I₂."
"48","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","두 저항을 병렬연결했을 때, 저항값이 작은 쪽에 흐르는 전류에 대한 설명으로 옳은 것은?","저항값에 무관하게 전류는 같다.","저항값이 작은 쪽에는 전류가 흐르지 않는다.","저항값이 큰 쪽에 더 큰 전류가 흐른다.","저항값이 작은 쪽에 더 큰 전류가 흐른다.","4","병렬연결에서는 전압이 같으므로 I = V/R 에서 저항값이 작은 쪽에 더 큰 전류가 흐릅니다. I₁ : I₂ = 1/R₁ : 1/R₂."
"49","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","병렬연결한 두 저항이 소모하는 소비 전력의 비 P₁ : P₂ 는?","R₁ : R₂","R₁² : R₂²","1/R₁ : 1/R₂","(R₁ + R₂) : (R₁ - R₂)","3","병렬연결은 전압이 같으므로 P = V²/R 에서 P₁ : P₂ = 1/R₁ : 1/R₂. 즉 저항값이 작은 쪽이 소비 전력도 큽니다. (참고: ① R₁:R₂ 는 직렬연결일 때의 비입니다.)"
"50","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","R₁ = 6 Ω, R₂ = 3 Ω 을 병렬연결한 회로의 합성저항은?","1 Ω","2 Ω","4.5 Ω","9 Ω","2","1/R_합성 = 1/6 + 1/3 = 1/6 + 2/6 = 3/6 = 1/2. 따라서 R_합성 = 2 Ω."
"51","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","전원의 전압이 일정할 때 저항을 병렬로 더 많이 연결할수록 회로 전체 소비 전력은 어떻게 변하는가?","커진다.","작아진다.","변화 없다.","0이 된다.","1","전원 전압 V가 일정할 때 P = V²/R_합성. 병렬로 더 연결할수록 R_합성 이 작아지므로 전체 소비 전력은 커집니다."
"52","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","가정의 분전반에서 각 전기 기구가 연결되는 방식과 그 이유로 옳은 것은?","직렬연결 — 전류를 일정하게 공급하기 위해","직렬연결 — 한 기구가 꺼지면 다른 기구도 꺼지게 하기 위해","병렬연결 — 각 전기 기구에 전압을 일정하게 제공하기 위해","병렬연결 — 한 기구가 켜지면 다른 기구도 자동으로 켜지게 하기 위해","3","가정의 분전반에서는 각 전기 기구가 병렬로 연결되어 있어, 어떤 기구를 사용하든 모두 같은 전압(예: 220 V)을 공급받을 수 있습니다."
"53","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","멀티탭에 여러 전기 기구를 동시에 연결해서 사용할 때, 멀티탭의 전선에 흐르는 전류는 어떻게 되는가?","기구를 연결할수록 커진다.","기구를 연결할수록 작아진다.","기구의 수와 무관하게 일정하다.","처음에만 커지고 곧 일정해진다.","1","멀티탭의 콘센트는 병렬로 연결되어 있으므로, 기구를 더 연결할수록 전체 전류가 커집니다. 따라서 허용 전류 이상이 흐르면 전선이 과열되어 화재가 발생할 수 있습니다."
"54","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","주택용 분전반에서 누전 차단기는 어떤 방식으로 연결되어 있으며, 그 이유는?","직렬 — 가정 내 전체 전류가 허용 전류 이상이면 전력 공급을 차단하기 위해","병렬 — 한 회로만 차단하기 위해","병렬 — 각 회로에 같은 전류를 공급하기 위해","직렬 — 회로마다 전압을 다르게 공급하기 위해","1","누전 차단기는 가정 회로에 직렬로 연결되어 있어, 전체 전류가 허용치를 넘으면 회로 전체의 전력 공급을 차단합니다."
"55","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","장식용 전구를 직렬로 연결했을 때의 특징으로 옳지 않은 것은?","전체 전압이 개별 전구에 분배되어 외부 전압이 갑자기 변할 때 전구를 보호할 수 있다.","전구 한 개의 연결만 끊어져도 모든 전구에 불이 들어오지 않는다.","한 전구가 꺼지더라도 나머지 전구는 그대로 동작한다.","각 전구에 흐르는 전류는 모두 같다.","3","직렬연결의 단점은 한 전구만 끊어져도 회로 전체가 끊겨 모든 전구가 꺼진다는 점입니다. ③의 설명은 병렬연결의 특징입니다."
"56","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ba","","전기난로에서 저항값이 다른 여러 전열선을 병렬연결한 후 '고온'으로 조절하면, 어느 부분에 연결되어 소비 전력이 커지는가?","저항값이 큰 부분에 연결되어 소비 전력이 커진다.","저항값이 작은 부분에 연결되어 소비 전력이 커진다.","전열선을 모두 끊어 소비 전력이 0이 된다.","전압을 바꿔 소비 전력을 조절한다.","2","병렬연결에서 P = V²/R 이므로 저항값이 작은 부분에 연결될수록 소비 전력이 커집니다. 즉 '고온'은 작은 저항을 선택한 것입니다."
"57","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ad","","R₁ = 100 Ω, R₂ = 200 Ω 을 직렬연결하고 양단에 V = 100 V 를 걸었다. R₁에 걸리는 전압 V₁ 과 R₁이 소모하는 전력 P₁은?","V₁ = 33.3 V, P₁ ≈ 0.11 W","V₁ = 33.3 V, P₁ ≈ 11.1 W","V₁ = 66.7 V, P₁ ≈ 22.2 W","V₁ = 50 V, P₁ ≈ 25 W","2","I = V/(R₁+R₂) = 100/300 ≈ 0.333 A. V₁ = IR₁ = 0.333 × 100 ≈ 33.3 V. P₁ = I²R₁ = (0.333)² × 100 ≈ 11.1 W."
"58","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ad","","R₁ = 100 Ω, R₂ = 200 Ω 을 병렬연결하고 양단에 V = 100 V 를 걸었다. R₁에 흐르는 전류 I₁ 과 R₁이 소모하는 전력 P₁은?","I₁ = 0.5 A, P₁ = 50 W","I₁ = 0.5 A, P₁ = 100 W","I₁ = 1 A, P₁ = 50 W","I₁ = 1 A, P₁ = 100 W","4","병렬이므로 R₁에 걸리는 전압은 100 V. I₁ = V/R₁ = 100/100 = 1 A. P₁ = VI₁ = 100 × 1 = 100 W."
"59","PHY","물리학","2","전기와 자기","1","전기","2","저항의 연결과 소비 전력","","theory","ad","","정격이 220 V, 16 A 인 멀티탭에 1500 W 전기주전자, 700 W 전자레인지, 1300 W 전기밥솥을 동시에 연결해 사용했다. 안전한가?","안전하다. 합산 전력 약 3500 W → 전류 약 15.9 A 로 16 A 이내이다.","위험하다. 합산 전력 약 3500 W → 전류 약 15.9 A 로 한계에 매우 가깝고, 정격 전압 변동이나 추가 부하 시 16 A를 넘기 쉽다.","안전하다. 정격 전류는 무시해도 된다.","위험하다. 합산 전력이 5000 W를 넘는다.","2","세 기구 합산 소비 전력 = 1500 + 700 + 1300 = 3500 W. I = P/V = 3500/220 ≈ 15.9 A. 정격 16 A에 거의 닿아 있어, 추가로 다른 기구를 꽂거나 정격 전압이 흔들리면 쉽게 16 A를 초과해 위험합니다."
